visual,hearing,speech,physical,mental,other,none,county
5792,1801,3368,4267,1248,1411,663056,Nairobi
7902,2197,5091,5304,1477,1566,1122067,Nairobi
7630,2321,5547,6036,1812,1261,1020662,Nairobi
3335,608,1002,1523,392,664,237706,Nairobi
2314,1109,1518,3655,1474,1714,298289,Nyandarua
1501,798,1372,2776,1147,613,280144,Nyandarua
1893,1124,1462,4097,1526,1089,314953,Nyeri
1991,1339,1575,5122,2046,1485,353784,Nyeri
3103,1788,2280,6519,2404,1390,511494,Kirinyaga
1198,1113,1781,4704,2165,944,335145,Murang\'a
1156,1166,2201,5307,2019,1344,421096,Murang\'a
1332,629,1075,2091,727,310,247308,Kiambu
1542,659,1457,2384,826,456,259156,Kiambu
720,369,546,1216,420,477,127236,Kiambu
523,369,725,1225,468,238,120573,Kiambu
723,509,1059,1779,634,253,143461,Kiambu
493,370,352,979,363,221,74591,Kiambu
1054,427,733,1301,419,240,213416,Kiambu
1016,464,933,1224,444,249,236480,Kiambu
476,397,557,1397,594,239,109920,Murang\'a
946,759,1230,2969,1315,414,208115,Kiambu
3134,1308,1742,3038,1334,898,502253,Mombasa
2557,1151,1285,2460,820,874,404712,Mombasa
2299,1292,634,1809,798,362,145093,Kwale 
1646,1414,1223,2491,1040,811,201719,Kwale 
2367,1741,1162,2863,1207,629,277183,Kwale 
3191,2505,1835,4650,2017,1652,440772,Kilifi
1406,1316,1020,2528,1084,600,245127,Kilifi
3834,2317,1631,4504,1789,1627,383093,Kilifi
1018,793,621,1574,745,162,138795,Tana River
945,683,551,1180,477,158,93039,Tana River
824,459,407,1231,536,297,97229,Lamu
4121,1698,1139,4201,1767,1639,198805,Taita Taveta
819,380,219,953,319,181,64657,Taita Taveta
291,223,143,474,151,40,44918,Marsabit
1366,850,568,1322,294,184,71345,Marsabit
525,365,270,588,185,46,63509,Marsabit
866,856,481,1325,333,95,99845,Marsabit
750,543,458,986,352,97,96103,Isiolo
379,258,216,480,168,59,41644,Isiolo
912,876,710,1667,865,256,137095,Meru
2318,1338,1103,2705,1388,586,249112,Meru
1600,1014,844,2252,1006,396,172798,Meru
1499,1068,660,1795,822,350,122687,Meru
1043,678,407,1587,726,254,102975,Meru
2937,3395,2249,4091,2593,1185,466400,Meru
2803,2355,1563,3195,1663,773,282584,Meru
